01.04.2016,10:59:57,OL,169.1,OL,OL
01.04.2016,10:59:59,OL,168.9,OL,OL
01.04.2016,11:00:01,OL,168.7,OL,OL
01.04.2016,11:00:03,OL,168.4,OL,OL
01.04.2016,11:00:05,OL,167.9,OL,OL
01.04.2016,11:00:07,OL,167.7,OL,OL
01.04.2016,11:00:09,OL,167.8,OL,OL
01.04.2016,11:00:11,OL,167.4,OL,OL
01.04.2016,11:00:13,OL,167.8,OL,OL
01.04.2016,11:00:15,OL,167.9,OL,OL
01.04.2016,11:00:17,OL,167.8,OL,OL
01.04.2016,11:00:19,OL,167.6,OL,OL
01.04.2016,11:00:21,OL,167.7,OL,OL
01.04.2016,11:00:23,OL,167.8,OL,OL
01.04.2016,11:00:25,OL,167.4,OL,OL
01.04.2016,11:00:27,OL,167.7,OL,OL
01.04.2016,11:00:29,OL,167.2,OL,OL
01.04.2016,11:00:31,OL,167.6,OL,OL
01.04.2016,11:00:33,OL,167.7,OL,OL
01.04.2016,11:00:35,OL,167.4,OL,OL
01.04.2016,11:00:37,OL,167.9,OL,OL
01.04.2016,11:00:39,OL,167.7,OL,OL
01.04.2016,11:00:41,OL,167.7,OL,OL
01.04.2016,11:00:43,OL,168.3,OL,OL
01.04.2016,11:00:45,OL,168.3,OL,OL
01.04.2016,11:00:47,OL,168.4,OL,OL
01.04.2016,11:00:49,OL,168.8,OL,OL
01.04.2016,11:00:51,OL,168.8,OL,OL
01.04.2016,11:00:53,OL,169.3,OL,OL
01.04.2016,11:00:55,OL,169.4,OL,OL
01.04.2016,11:00:57,OL,170.0,OL,OL
01.04.2016,11:00:59,OL,170.6,OL,OL
01.04.2016,11:01:01,OL,171.8,OL,OL
01.04.2016,11:01:03,OL,172.7,OL,OL
01.04.2016,11:01:05,OL,174.5,OL,OL
01.04.2016,11:01:07,OL,175.5,OL,OL
01.04.2016,11:01:09,OL,177.0,OL,OL
01.04.2016,11:01:11,OL,178.9,OL,OL
01.04.2016,11:01:13,OL,180.2,OL,OL
01.04.2016,11:01:15,OL,182.4,OL,OL
01.04.2016,11:01:17,OL,184.4,OL,OL
01.04.2016,11:01:19,OL,187.0,OL,OL
01.04.2016,11:01:21,OL,189.7,OL,OL
01.04.2016,11:01:23,OL,190.9,OL,OL
01.04.2016,11:01:25,OL,192.9,OL,OL
01.04.2016,11:01:27,OL,194.9,OL,OL
01.04.2016,11:01:29,OL,196.0,OL,OL
01.04.2016,11:01:31,OL,197.3,OL,OL
01.04.2016,11:01:33,OL,198.4,OL,OL
01.04.2016,11:01:35,OL,199.8,OL,OL
01.04.2016,11:01:37,OL,201.4,OL,OL
01.04.2016,11:01:39,OL,202.1,OL,OL
01.04.2016,11:01:41,OL,204.1,OL,OL
01.04.2016,11:01:43,OL,205.7,OL,OL
01.04.2016,11:01:45,OL,207.2,OL,OL
01.04.2016,11:01:47,OL,209.1,OL,OL
01.04.2016,11:01:49,OL,210.5,OL,OL
01.04.2016,11:01:51,OL,212.0,OL,OL
01.04.2016,11:01:53,OL,213.5,OL,OL
01.04.2016,11:01:55,OL,214.4,OL,OL
01.04.2016,11:01:57,OL,215.3,OL,OL
01.04.2016,11:01:59,OL,216.2,OL,OL
01.04.2016,11:02:01,OL,217.3,OL,OL
01.04.2016,11:02:03,OL,218.0,OL,OL
01.04.2016,11:02:05,OL,218.7,OL,OL
01.04.2016,11:02:07,OL,219.3,OL,OL
01.04.2016,11:02:09,OL,220.6,OL,OL
01.04.2016,11:02:11,OL,220.7,OL,OL
01.04.2016,11:02:13,OL,221.7,OL,OL
01.04.2016,11:02:15,OL,221.8,OL,OL
01.04.2016,11:02:17,OL,222.9,OL,OL
01.04.2016,11:02:19,OL,223.4,OL,OL
01.04.2016,11:02:21,OL,223.5,OL,OL
01.04.2016,11:02:23,OL,223.7,OL,OL
01.04.2016,11:02:25,OL,224.4,OL,OL
01.04.2016,11:02:27,OL,223.9,OL,OL
01.04.2016,11:02:29,OL,224.4,OL,OL
01.04.2016,11:02:31,OL,224.7,OL,OL
01.04.2016,11:02:33,OL,224.7,OL,OL
01.04.2016,11:02:35,OL,225.1,OL,OL
01.04.2016,11:02:37,OL,225.5,OL,OL
01.04.2016,11:02:39,OL,225.1,OL,OL
01.04.2016,11:02:41,OL,225.5,OL,OL
01.04.2016,11:02:43,OL,226.0,OL,OL
01.04.2016,11:02:45,OL,225.6,OL,OL
01.04.2016,11:02:47,OL,225.5,OL,OL
01.04.2016,11:02:49,OL,225.8,OL,OL
01.04.2016,11:02:51,OL,226.0,OL,OL
01.04.2016,11:02:53,OL,225.9,OL,OL
01.04.2016,11:02:55,OL,226.4,OL,OL
01.04.2016,11:02:57,OL,226.2,OL,OL
01.04.2016,11:02:59,OL,225.8,OL,OL
01.04.2016,11:03:01,OL,225.7,OL,OL
01.04.2016,11:03:03,OL,225.7,OL,OL
01.04.2016,11:03:05,OL,225.2,OL,OL
01.04.2016,11:03:07,OL,225.0,OL,OL
01.04.2016,11:03:09,OL,225.2,OL,OL
01.04.2016,11:03:11,OL,224.3,OL,OL
01.04.2016,11:03:13,OL,224.8,OL,OL
01.04.2016,11:03:15,OL,224.0,OL,OL
01.04.2016,11:03:17,OL,223.7,OL,OL
01.04.2016,11:03:19,OL,223.5,OL,OL
01.04.2016,11:03:21,OL,223.0,OL,OL
01.04.2016,11:03:23,OL,222.5,OL,OL
01.04.2016,11:03:25,OL,222.4,OL,OL
01.04.2016,11:03:27,OL,221.5,OL,OL
01.04.2016,11:03:29,OL,221.5,OL,OL
01.04.2016,11:03:31,OL,220.7,OL,OL
01.04.2016,11:03:33,OL,220.4,OL,OL
01.04.2016,11:03:35,OL,219.7,OL,OL
01.04.2016,11:03:37,OL,219.5,OL,OL
01.04.2016,11:03:39,OL,218.4,OL,OL
01.04.2016,11:03:41,OL,218.3,OL,OL
01.04.2016,11:03:43,OL,217.0,OL,OL
01.04.2016,11:03:45,OL,216.7,OL,OL
01.04.2016,11:03:47,OL,215.9,OL,OL
01.04.2016,11:03:49,OL,215.4,OL,OL
01.04.2016,11:03:51,OL,214.5,OL,OL
01.04.2016,11:03:53,OL,213.4,OL,OL
01.04.2016,11:03:55,OL,212.5,OL,OL
01.04.2016,11:03:57,OL,211.8,OL,OL
01.04.2016,11:03:59,OL,210.8,OL,OL
01.04.2016,11:04:01,OL,209.5,OL,OL
01.04.2016,11:04:03,OL,209.3,OL,OL
01.04.2016,11:04:05,OL,208.2,OL,OL
01.04.2016,11:04:07,OL,207.5,OL,OL
01.04.2016,11:04:09,OL,206.3,OL,OL
01.04.2016,11:04:11,OL,205.6,OL,OL
01.04.2016,11:04:13,OL,204.7,OL,OL
01.04.2016,11:04:15,OL,204.1,OL,OL
01.04.2016,11:04:17,OL,202.7,OL,OL
01.04.2016,11:04:19,OL,202.6,OL,OL
01.04.2016,11:04:21,OL,201.2,OL,OL
01.04.2016,11:04:23,OL,200.8,OL,OL
01.04.2016,11:04:25,OL,199.8,OL,OL
01.04.2016,11:04:27,OL,199.2,OL,OL
01.04.2016,11:04:29,OL,198.4,OL,OL
01.04.2016,11:04:31,OL,197.4,OL,OL
01.04.2016,11:04:33,OL,196.8,OL,OL
01.04.2016,11:04:35,OL,195.5,OL,OL
01.04.2016,11:04:37,OL,195.3,OL,OL
01.04.2016,11:04:39,OL,194.1,OL,OL
01.04.2016,11:04:41,OL,193.4,OL,OL
01.04.2016,11:04:43,OL,192.9,OL,OL
01.04.2016,11:04:45,OL,192.2,OL,OL
01.04.2016,11:04:47,OL,191.6,OL,OL
01.04.2016,11:04:49,OL,190.9,OL,OL
01.04.2016,11:04:51,OL,190.5,OL,OL
01.04.2016,11:04:53,OL,189.7,OL,OL
01.04.2016,11:04:55,OL,189.2,OL,OL
01.04.2016,11:04:57,OL,188.7,OL,OL
01.04.2016,11:04:59,OL,187.8,OL,OL
01.04.2016,11:05:01,OL,187.8,OL,OL
01.04.2016,11:05:03,OL,186.8,OL,OL
01.04.2016,11:05:05,OL,186.4,OL,OL
01.04.2016,11:05:07,OL,186.3,OL,OL
01.04.2016,11:05:09,OL,185.1,OL,OL
01.04.2016,11:05:11,OL,184.7,OL,OL
01.04.2016,11:05:13,OL,184.3,OL,OL
01.04.2016,11:05:15,OL,183.8,OL,OL
01.04.2016,11:05:17,OL,183.4,OL,OL
01.04.2016,11:05:19,OL,182.5,OL,OL
01.04.2016,11:05:21,OL,182.7,OL,OL
01.04.2016,11:05:23,OL,182.1,OL,OL
01.04.2016,11:05:25,OL,181.7,OL,OL
01.04.2016,11:05:27,OL,180.7,OL,OL
01.04.2016,11:05:29,OL,180.6,OL,OL
01.04.2016,11:05:31,OL,180.4,OL,OL
01.04.2016,11:05:33,OL,180.0,OL,OL
01.04.2016,11:05:35,OL,179.5,OL,OL
01.04.2016,11:05:37,OL,179.2,OL,OL
01.04.2016,11:05:39,OL,179.1,OL,OL
01.04.2016,11:05:41,OL,178.8,OL,OL
01.04.2016,11:05:43,OL,177.9,OL,OL
01.04.2016,11:05:45,OL,177.9,OL,OL
01.04.2016,11:05:47,OL,177.7,OL,OL
01.04.2016,11:05:49,OL,177.5,OL,OL
01.04.2016,11:05:51,OL,177.6,OL,OL
01.04.2016,11:05:53,OL,176.5,OL,OL
01.04.2016,11:05:55,OL,176.7,OL,OL
01.04.2016,11:05:57,OL,176.3,OL,OL
01.04.2016,11:05:59,OL,176.2,OL,OL
01.04.2016,11:06:01,OL,176.0,OL,OL
01.04.2016,11:06:03,OL,179.5,OL,OL
01.04.2016,11:06:05,OL,184.5,OL,OL
01.04.2016,11:06:07,OL,201.0,OL,OL
01.04.2016,11:06:09,OL,204.8,OL,OL
01.04.2016,11:06:11,OL,199.7,OL,OL
01.04.2016,11:06:13,OL,192.9,OL,OL
01.04.2016,11:06:15,OL,200.0,OL,OL
01.04.2016,11:06:17,OL,204.1,OL,OL
01.04.2016,11:06:19,OL,197.9,OL,OL
01.04.2016,11:06:21,OL,192.3,OL,OL
01.04.2016,11:06:23,OL,188.0,OL,OL
01.04.2016,11:06:25,OL,185.0,OL,OL
01.04.2016,11:06:27,OL,183.3,OL,OL
01.04.2016,11:06:29,OL,182.1,OL,OL
01.04.2016,11:06:31,OL,181.2,OL,OL
01.04.2016,11:06:33,OL,180.1,OL,OL
01.04.2016,11:06:35,OL,179.1,OL,OL
01.04.2016,11:06:37,OL,177.9,OL,OL
01.04.2016,11:06:39,OL,177.4,OL,OL
01.04.2016,11:06:41,OL,176.6,OL,OL
01.04.2016,11:06:43,OL,176.4,OL,OL
01.04.2016,11:06:45,OL,176.5,OL,OL
01.04.2016,11:06:47,OL,175.9,OL,OL
01.04.2016,11:06:49,OL,176.0,OL,OL
01.04.2016,11:06:51,OL,176.4,OL,OL
01.04.2016,11:06:53,OL,175.4,OL,OL
01.04.2016,11:06:55,OL,175.2,OL,OL
01.04.2016,11:06:57,OL,175.3,OL,OL
01.04.2016,11:06:59,OL,175.1,OL,OL
01.04.2016,11:07:01,OL,174.4,OL,OL
01.04.2016,11:07:03,OL,174.3,OL,OL
01.04.2016,11:07:05,OL,174.1,OL,OL
01.04.2016,11:07:07,OL,173.7,OL,OL
01.04.2016,11:07:09,OL,173.3,OL,OL
01.04.2016,11:07:11,OL,172.8,OL,OL
01.04.2016,11:07:13,OL,172.9,OL,OL
01.04.2016,11:07:15,OL,172.4,OL,OL
